name,Age,Ave. Length of Fight (Ls),Ave. Length of Fight (Ws),Ave. Rounds (Ls),Ave. Rounds (Ws),Avg. Fights/Year,Born,Career Length,Finish Rate,Finished Rate,Gender,Height,Longest Layoff,Loss by Decision Rate,Loss by KO Rate,Loss by SUB Rate,Out of,Pro Record,Quickest Turnaround,Rounds Fought,Team,Weight Class,Win by Decision Rate,Win by KO Rate,Win by SUB Rate,avg_fight_time,sig_strike_def_%,strikes_attempted,strikes_landed,takedown_defense_%,tds_attempted,tds_landed,tot_strikes_attempted_per_min,tot_strikes_landed_per_min
Colby Covington,31,01:26,11:57,0.3,2.4,2.4,,"6 years, 3 months, 28 days",50.0%,100.0%,Male,"5' 11""","1 year, 3 months, 19 days",0.0%,0.0%,100.0%,FL,14-1-0 (Win-Loss-Draw),"1 month, 26 days",33.8,,Welterweight,50.0%,14.3%,35.7%,12:47,"58
%",1071,417,"78
%",94,48,"58
%",3.26
Joaquim Silva,30,10:00,07:34,2.0,1.5,1.6,,"5 years, 6 months",71.4%,50.0%,Male,"5' 7""","11 months, 16 days",50.0%,50.0%,0.0%,Brazil,7-2-0 (Win-Loss-Draw),"3 weeks, 1 day",14.6,,Lightweight,28.6%,57.1%,14.3%,11:39,"57
%",0,0,"64
%",0,0,"57
%",4.04
Trevin Giles,26,14:01,06:58,2.8,1.4,2.3,,"5 years, 3 months, 17 days",90.9%,100.0%,Male,"6' 0""","1 year, 5 months, 9 days",0.0%,0.0%,100.0%,Tx,11-1-0 (Win-Loss-Draw),"1 month, 17 days",18.1,,Middleweight,9.1%,45.5%,45.5%,10:11,"76
%",0,0,"67
%",0,0,"76
%",5.45
Scott Holtzman,35,15:00,13:55,3.0,2.8,2.1,,7 years,50.0%,0.0%,Male,"5' 8""","1 year, 4 months, 3 days",100.0%,0.0%,0.0%,TN,12-3-0 (Win-Loss-Draw),"3 months, 5 days",42.4,,Lightweight,50.0%,25.0%,25.0%,14:33,"54
%",990,507,"65
%",32,18,"54
%",4.36
Mickey Gall,27,12:06,02:44,2.4,0.5,2.2,,"3 years, 3 months, 8 days",100.0%,50.0%,Male,"5' 11""","10 months, 18 days",50.0%,50.0%,0.0%,NJ,5-2-0 (Win-Loss-Draw),"2 months, 15 days",7.6,Miller Brothers MMA,Welterweight,0.0%,0.0%,100.0%,05:50,"40
%",0,0,"17
%",0,0,"40
%",1.74
Antonina Shevchenko,34,15:00,13:40,3.0,2.7,0.4,,"13 years, 9 months, 10 days",20.0%,0.0%,Female,"5' 8""","12 years, 2 months, 13 days",100.0%,0.0%,0.0%,TX,5-1-0 (Win-Loss-Draw),3 months,16.7,,Flyweight,80.0%,20.0%,0.0%,15:00,"69
%",0,0,"83
%",0,0,"69
%",4.40
Jordan Espinosa,29,11:21,07:21,2.3,1.5,2.7,,"6 years, 11 months, 26 days",64.3%,40.0%,Male,"5' 7""","1 year, 1 month, 19 days",60.0%,0.0%,40.0%,NM,14-5-0 (Win-Loss-Draw),"1 week, 1 day",32.0,,Flyweight,35.7%,14.3%,50.0%,15:00,"55
%",0,0,"100
%",0,0,"55
%",3.13
Lauren Murphy,36,13:45,08:53,2.8,1.8,1.8,,"7 years, 11 months, 22 days",70.0%,0.0%,Female,"5' 5""","1 year, 4 months, 17 days",100.0%,0.0%,0.0%,AZ,10-4-0 (Win-Loss-Draw),"1 month, 3 days",28.8,,Flyweight,30.0%,60.0%,10.0%,14:59,"61
%",0,0,"63
%",0,0,"61
%",3.73
Miranda Granger,27,00:00,03:01,0.0,0.6,3.6,,"1 year, 8 months, 29 days",100.0%,0.0%,Male,"5' 7""","5 months, 23 days",0.0%,0.0%,0.0%,WA,6-0-0 (Win-Loss-Draw),"2 months, 4 days",3.6,,Flyweight,0.0%,16.7%,83.3%,0,0,0,0,0,0,0,0,0
Robbie Lawler,37,11:05,09:22,2.2,1.9,2.3,"San Diego, CA","17 years, 10 months, 23 days",75.0%,61.5%,Male,"5' 11""","1 year, 2 months, 14 days",38.5%,15.4%,46.2%,"Davenport, FL",28-13-0 (Win-Loss-Draw),4 weeks,81.3,Miletich Martial Arts,Welterweight,25.0%,71.4%,3.6%,12:52,"60
%",0,0,"69
%",0,0,"60
%",3.93
Clay Guida,37,10:09,09:06,2.0,1.8,3.4,"Round Lake, IL","15 years, 9 months, 15 days",57.1%,61.1%,Male,"5' 7""",1 year,33.3%,11.1%,50.0%,"Schaumburg, FL",35-18-0 (Win-Loss-Draw),6 days,100.3,Midwest Training Center,Lightweight,40.0%,14.3%,42.9%,11:49,"66
%",0,0,"70
%",0,0,"66
%",2.41
Nasrat Haqparast,23,07:52,07:00,1.6,1.4,2.3,,"5 years, 4 months, 25 days",80.0%,50.0%,Male,"5' 10""",9 months,50.0%,0.0%,50.0%,Germany,10-2-0 (Win-Loss-Draw),"1 month, 12 days",17.2,,Lightweight,20.0%,70.0%,10.0%,15:00,"75
%",0,0,"79
%",0,0,"75
%",5.42
Gerald Meerschaert,31,05:44,06:57,1.1,1.4,3.3,,"12 years, 2 months, 17 days",92.9%,83.3%,Male,"6' 2""","1 year, 4 months, 15 days",16.7%,8.3%,75.0%,WI,28-12-0 (Win-Loss-Draw),1 week,52.7,,Middleweight,7.1%,21.4%,71.4%,07:04,"47
%",0,0,"50
%",0,0,"47
%",2.63
Kennedy Nzechukwu,27,14:20,07:09,2.9,1.4,3.0,,"2 years, 4 months, 24 days",66.7%,100.0%,Male,"6' 4""","7 months, 22 days",0.0%,0.0%,100.0%,TX,6-1-0 (Win-Loss-Draw),"2 months, 12 days",11.5,,Light-heavyweight,33.3%,66.7%,0.0%,14:20,"56
%",0,0,"87
%",0,0,"56
%",2.79
Salim Touahri,29,10:09,07:20,2.0,1.5,1.5,,8 years,77.8%,33.3%,Male,"5' 10""","1 year, 11 months, 27 days",66.7%,33.3%,0.0%,Malop,9-3-0 (Win-Loss-Draw),2 weeks,19.3,,Welterweight,22.2%,66.7%,11.1%,15:00,"59
%",0,0,"82
%",0,0,"59
%",2.30
Matt Schnell,29,07:18,05:30,1.5,1.1,2.6,,"6 years, 5 months, 22 days",69.2%,75.0%,Male,"5' 8""","8 months, 16 days",25.0%,50.0%,25.0%,MO,13-4-0 (Win-Loss-Draw),4 weeks,20.2,,Flyweight,23.1%,15.4%,53.8%,08:18,"63
%",0,0,"55
%",0,0,"63
%",3.69
Mara Romero Borella,33,07:00,09:20,1.4,1.9,2.3,,"6 years, 11 months",54.5%,80.0%,Female,"5' 6""","2 years, 1 month, 11 days",20.0%,60.0%,20.0%,Italy,11-5-0 (Win-Loss-Draw),"3 weeks, 6 days",27.5,,Flyweight,45.5%,18.2%,36.4%,10:58,"71
%",0,0,"50
%",0,0,"71
%",3.37
